Nummer,CMYK,HEX,RGB
1,"8 6 0 2",#e8ecfb,"232 236 251"
2,"4 10 0 11",#d9cce3,"217 204 227"
4,"0 15 0 20",#caaccb,"202 172 203"
5,"0 24 3 27",#ba8db4,"186 141 180"
7,"0 35 7 33",#aa6f9e,"170 111 158"
8,"0 48 11 40",#994f88,"153 79 136"
9,"0 66 16 47",#882e72,"136 46 114"
10,"86 43 0 31",#1965b0,"25 101 176"
11,"65 35 0 25",#437dbf,"67 125 191"
13,"53 28 0 19",#6195cf,"97 149 207"
14,"45 21 0 13",#7bafde,"123 175 222"
15,"56 0 43 30",#4eb265,"78 178 101"
16,"28 0 33 21",#90c987,"144 201 135"
17,"10 0 24 12",#cae0ab,"202 224 171"
18,"0 3 65 3",#f7f056,"247 240 86"
19,"0 18 72 3",#f7cb45,"247 203 69"
21,"0 32 78 4",#f4a736,"244 167 54"
23,"0 46 84 7",#ee8026,"238 128 38"
25,"0 63 90 10",#e65518,"230 85 24"
26,"0 98 95 14",#dc050c,"220 5 12"
27,"0 86 92 35",#a5170e,"165 23 14"
28,"0 78 88 55",#72190e,"114 25 14"
29,"0 68 85 74",#42150a,"66 21 10"
30,"0 0 0 53",#777777,"119 119 119"
