Nummer,CMYK,HEX,RGB
3,"3 13 0 16",#d1bbd7,"209 198 215"
6,"0 32 6 32",#ae76a3,"174 118 163"
9,"0 66 16 47",#882e72,"136 46 114"
10,"86 43 0 31",#1965b0,"25 101 176"
12,"59 31 0 22",#5289c7,"82 137 199"
14,"45 21 0 13",#7bafde,"123 175 222"
15,"56 0 43 30",#4eb265,"78 178 101"
16,"28 0 33 21",#90c987,"144 201 135"
17,"10 0 24 12",#cae0ab,"202 224 171"
18,"0 3 65 3",#f7f056,"247 240 86"
20,"0 22 74 4",#f6c141,"246 193 65"
22,"0 39 81 5",#f1932d,"241 147 45"
24,"0 59 88 9",#e8601c,"232 96 28"
26,"0 98 95 14",#dc050c,"220 5 12"
30,"0 0 0 53",#777777,"119 119 119"
